,tx,ty,tz,PL,Zlayer,angle
0,-8.6924266e-05,-4.9344538000000006e-05,-0.00017384641,1,1,1
1,-7.820305199999999e-05,-0.00012158360399999996,-0.00015640570000000003,1,2,1
2,1.2417469999999994e-05,0.00017864721999999997,2.4833764e-05,1,3,1
3,-5.328959999999997e-06,6.387951599999999e-05,-1.0657320000000002e-05,1,4,1
4,4.6977259999999935e-06,-5.7619322e-05,9.396135999999986e-06,1,5,1
5,3.9380444e-05,0.00020958011199999994,7.876222399999999e-05,1,6,1
6,0.00011141515399999998,-0.00044069723142,0.00022282853200000002,1,7,1
7,-3.70739268e-06,3.45252364e-05,-7.414891599999999e-06,1,8,1
8,-3.7936855600000003e-06,8.05928356e-06,-7.5872956e-06,1,9,1
9,-1.7563473999999995e-07,2.086277888e-06,-3.5127744000000004e-07,1,10,1
10,-2.3489577399999995e-06,-1.1610134399999998e-06,-4.697931120000001e-06,1,11,1
11,-3.3224417e-07,-4.374226799999999e-08,-6.644896139999999e-07,1,12,1
12,1.7286922599999997e-06,8.113974360000001e-07,3.4573874999999997e-06,1,13,1
13,-9.251268e-09,-5.5242428e-09,-1.8502639999999998e-08,1,14,1
14,1.6588002e-11,3.6647999999999995e-12,3.317605399999999e-11,1,15,1
15,0.0,0.0,0.0,1,16,1
16,1.9259602000000003e-09,-1.6359094000000002e-09,3.851925399999999e-09,1,17,1
17,7.540491372000001e-07,-1.0956600999999998e-06,1.5081046140000002e-06,1,18,1
18,-6.0807812e-05,-0.00035441735999999996,-0.00012161136599999999,2,1,1
19,-5.1433010000000015e-05,7.186524000000003e-05,-0.00010286823999999998,2,2,1
20,9.241070600000002e-05,-0.00023809913200000004,0.00018482237800000002,2,3,1
21,-1.8823489419999996e-05,5.3323914800000004e-05,-3.764855278000003e-05,2,4,1
22,3.21945148e-05,-0.000176867512,6.438771760000003e-05,2,5,1
23,7.910369939999998e-05,-0.000304411664,0.00015821053799999998,2,6,1
24,0.0001015943276,5.455349499999999e-05,0.000203188276,2,7,1
25,4.370955549199999e-06,3.259476260000001e-05,8.7419912984e-06,2,8,1
26,-2.054343986e-06,1.1285428780000002e-05,-4.10869634e-06,2,9,1
27,-8.790694700000001e-07,1.3002333660000002e-06,-1.7581382600000005e-06,2,10,1
28,-3.1718266120000003e-06,-6.951045599999999e-07,-6.343644560000001e-06,2,11,1
29,-4.09303532e-07,-1.3516428800000002e-07,-8.186053980000001e-07,2,12,1
30,2.6750167e-06,1.097547216e-06,5.35003908e-06,2,13,1
31,-9.731942e-09,-5.4921482e-09,-1.9463910000000006e-08,2,14,1
32,2.0578996000000004e-11,1.3164508000000004e-11,4.115812399999999e-11,2,15,1
33,0.0,0.0,0.0,2,16,1
34,1.32432004e-09,4.9180106000000015e-09,2.6486412e-09,2,17,1
35,6.751639899999998e-07,6.7507654e-07,1.350329064e-06,2,18,1
36,4.8400039000000004e-05,-0.00023908769,9.679718819999999e-05,3,1,1
37,-7.657680000000078e-07,-2.7846117999999987e-05,-1.530622000000025e-06,3,2,1
38,-7.846264600000002e-05,-2.4795299999999972e-05,-0.00015692697,3,3,1
39,4.950002000000009e-06,2.4166940000000014e-05,9.903942000000003e-06,3,4,1
40,9.966986399999999e-05,6.272414400000003e-05,0.00019933800000000002,3,5,1
41,-8.1179178e-05,-0.00017676088399999997,-0.00016235816200000004,3,6,1
42,0.00028660048420000006,0.0001884254436,0.00057320121,3,7,1
43,2.1092040000000006e-06,3.706412e-05,4.2182348000000006e-06,3,8,1
44,-6.671094539999999e-06,2.1720996599999995e-06,-1.3342217199999999e-05,3,9,1
45,-9.882988e-07,2.9162945000000007e-06,-1.97660916e-06,3,10,1
46,-4.2760569999999995e-06,1.31815356e-06,-8.552059720000001e-06,3,11,1
47,-4.84718644e-07,5.982577400000011e-09,-9.694355799999997e-07,3,12,1
48,2.1989734000000005e-06,9.262413559999999e-07,4.3979503e-06,3,13,1
49,-9.836670000000001e-09,-4.177870000000002e-09,-1.9673298000000003e-08,3,14,1
50,2.0721693999999996e-11,9.480036000000002e-12,4.144334800000001e-11,3,15,1
51,0.0,0.0,0.0,3,16,1
52,1.9091904000000006e-09,7.6692418e-09,3.8184004e-09,3,17,1
53,7.5281952e-07,2.371475206e-06,1.5056304000000004e-06,3,18,1
54,1.4257576000000017e-05,-0.0006765065659999998,2.8518125999999985e-05,4,1,1
55,-2.0434586000000008e-05,0.000120873108,-4.0868926000000016e-05,4,2,1
56,-1.6157840000000002e-05,3.2909803e-05,-3.231175399999999e-05,4,3,1
57,2.1425383999999986e-05,-0.000310299166,4.284473199999996e-05,4,4,1
58,4.624086280000001e-05,0.00010040557600000001,9.248489179999998e-05,4,5,1
59,0.00020292668200000001,-0.00018492765999999995,0.00040585572000000005,4,6,1
60,8.162954012e-05,0.00011711477599999999,0.00016325982340000003,4,7,1
61,7.7992634e-06,4.25834344e-05,1.5598636e-05,4,8,1
62,-5.697156968e-06,1.92361588e-05,-1.1394367539999998e-05,4,9,1
63,-8.9071056e-07,3.051954171999999e-07,-1.7814332199999998e-06,4,10,1
64,-3.4604075900000006e-06,-2.9552427199999996e-06,-6.92082858e-06,4,11,1
65,-4.940361380000001e-07,7.694684399999997e-08,-9.880702939999997e-07,4,12,1
66,2.8852316800000005e-06,1.756747326e-06,5.770470359999998e-06,4,13,1
67,-1.1129484e-08,-4.3174746e-09,-2.2259104e-08,4,14,1
68,2.2897138000000002e-11,1.0232282e-11,4.5794342000000003e-11,4,15,1
69,0.0,0.0,0.0,4,16,1
70,1.2538548000000003e-09,4.4562051999999996e-09,2.5076987999999983e-09,4,17,1
71,8.525788620000001e-07,1.7823822499999999e-06,1.7051564600000007e-06,4,18,1
72,-9.077716879999997e-05,0.00010046204000000002,-0.00018155125799999998,5,1,1
73,-0.00016250227200000002,-2.484195718000003e-05,-0.000325008784,5,2,1
74,4.2893388000000006e-05,4.141674000000003e-05,8.578667999999999e-05,5,3,1
75,-0.00011238122799999998,0.00026275430399999995,-0.000224763272,5,4,1
76,7.337253599999999e-05,5.518493459999999e-05,0.00014674145000000006,5,5,1
77,0.0001347668,-0.0006129788619999999,0.0002695381,5,6,1
78,-8.39215600000004e-07,-0.00028033364120000007,-1.678131199999962e-06,5,7,1
79,-8.078062199999999e-06,4.0914876e-05,-1.61563e-05,5,8,1
80,-3.295021999999988e-07,3.4231338399999994e-06,-6.589879200000001e-07,5,9,1
81,-7.4550088e-07,8.807979839999997e-07,-1.4910078200000002e-06,5,10,1
82,-4.024038648e-06,1.1843892400000002e-06,-8.04809834e-06,5,11,1
83,-6.186477e-07,5.5016948e-08,-1.2372980800000002e-06,5,12,1
84,2.6980346400000006e-06,2.800539659999998e-07,5.3960759399999994e-06,5,13,1
85,-1.1324837000000001e-08,-5.0856876000000005e-09,-2.2649437799999997e-08,5,14,1
86,2.6216213999999996e-11,1.2825327200000006e-11,5.2432582000000004e-11,5,15,1
87,0.0,0.0,0.0,5,16,1
88,2.0346209999999996e-09,3.144034800000002e-09,4.0692282e-09,5,17,1
89,9.828157600000001e-07,1.220286199999996e-07,1.965640762e-06,5,18,1
90,3.5096582e-05,-0.00034412978,7.018969000000004e-05,6,1,1
91,-6.502738e-05,0.00022077741300000002,-0.00013004884000000002,6,2,1
92,-4.3054626000000004e-05,-0.00026601688,-8.611507799999997e-05,6,3,1
93,0.000165213558,-0.000191479702,0.00033043029999999993,6,4,1
94,1.582783000000002e-05,0.00017189336,3.1656186000000005e-05,6,5,1
95,0.00022286353600000004,5.1935999999999924e-05,0.0004457314800000001,6,6,1
96,0.00017150026359999995,-2.2863527799999972e-05,0.00034300193800000005,6,7,1
97,5.0576502000000005e-06,5.0432866e-05,1.0115671999999999e-05,6,8,1
98,-5.042590896e-06,1.1021170072000001e-05,-1.008525782e-05,6,9,1
99,-1.058825994e-06,8.803443799999999e-07,-2.1176636400000003e-06,6,10,1
100,-3.0679556199999996e-06,7.716444000000004e-07,-6.1358984e-06,6,11,1
101,-4.61087378e-07,2.673393e-07,-9.221855920000001e-07,6,12,1
102,2.7894214800000008e-06,1.1051705959999999e-06,5.578846200000001e-06,6,13,1
103,-1.00943422e-08,-7.6529338e-09,-2.01887542e-08,6,14,1
104,2.3172337999999998e-11,1.67905268e-11,4.6344697999999996e-11,6,15,1
105,0.0,0.0,0.0,6,16,1
106,5.399176e-10,7.153677e-09,1.0798819999999998e-09,6,17,1
107,8.46144154e-07,2.0059071600000007e-06,1.6922852880000005e-06,6,18,1
108,-0.000146027324,-0.0005310914599999999,-0.00029204707800000004,7,1,1
109,0.00013849303600000002,0.000124050468,0.00027698719400000006,7,2,1
110,-1.5206756e-05,-5.257554599999997e-05,-3.0408092000000043e-05,7,3,1
111,1.4043075999999999e-05,-1.872997200000002e-05,2.808241399999999e-05,7,4,1
112,-0.00013480602200000003,-0.00033263574800000006,-0.0002696144,7,5,1
113,-0.00013575524399999994,0.0008622213000000002,-0.0002715178200000001,7,6,1
114,0.000280308868,-0.0007599978419999999,0.0005606268380000001,7,7,1
115,1.8937271999999997e-06,2.76322752e-05,3.7873943999999987e-06,7,8,1
116,-2.510483e-06,1.17646702e-05,-5.020913000000001e-06,7,9,1
117,-1.58207902e-06,3.2517469199999997e-06,-3.1641691600000005e-06,7,10,1
118,-2.52201996e-06,8.107710000000058e-08,-5.044052400000001e-06,7,11,1
119,-2.6829748e-07,-1.7934193999999993e-08,-5.3658768e-07,7,12,1
120,2.52845142e-06,9.58143842e-07,5.056909820000001e-06,7,13,1
121,-9.384872e-09,-1.4640706e-09,-1.8769712200000006e-08,7,14,1
122,2.2695620000000005e-11,1.2021531999999998e-11,4.5391248e-11,7,15,1
123,0.0,0.0,0.0,7,16,1
