,tx,ty,tz,PL,Zlayer,angle
0,0.000059,0.000215,0.000118,1,1,1
1,0.000063,0.000043,0.000125,1,2,1
2,-0.000025,-0.000055,-0.000049,1,3,1
3,-0.000040,0.000174,-0.000080,1,4,1
4,-0.000006,0.000049,-0.000011,1,5,1
5,-0.000071,0.000093,-0.000143,1,6,1
6,-0.000193,-0.000050,-0.000385,1,7,1
7,-0.000011,-0.000030,-0.000021,1,8,1
8,0.000000,-0.000003,0.000001,1,9,1
9,0.000000,-0.000002,0.000000,1,10,1
10,0.000002,-0.000001,0.000004,1,11,1
11,0.000000,-0.000000,0.000001,1,12,1
12,-0.000003,-0.000002,-0.000005,1,13,1
13,0.000000,0.000000,0.000000,1,14,1
14,-0.000000,-0.000000,-0.000000,1,15,1
15,0.000000,0.000000,0.000000,1,16,1
16,-0.000000,0.000000,-0.000000,1,17,1
17,-0.000001,0.000001,-0.000002,1,18,1
18,0.000106,0.000308,0.000212,2,1,1
19,0.000101,-0.000064,0.000202,2,2,1
20,-0.000070,-0.000087,-0.000139,2,3,1
21,-0.000046,0.000067,-0.000092,2,4,1
22,-0.000097,-0.000044,-0.000193,2,5,1
23,-0.000093,0.000096,-0.000187,2,6,1
24,-0.000117,0.000015,-0.000233,2,7,1
25,-0.000013,-0.000055,-0.000026,2,8,1
26,0.000002,-0.000008,0.000005,2,9,1
27,-0.000001,-0.000002,-0.000001,2,10,1
28,0.000003,0.000001,0.000006,2,11,1
29,0.000000,0.000000,0.000001,2,12,1
30,-0.000003,-0.000002,-0.000005,2,13,1
31,0.000000,0.000000,0.000000,2,14,1
32,-0.000000,-0.000000,-0.000000,2,15,1
33,0.000000,0.000000,0.000000,2,16,1
34,-0.000000,0.000000,-0.000000,2,17,1
35,0.000000,0.000001,0.000000,2,18,1
36,0.000050,0.000325,0.000101,3,1,1
37,0.000091,0.000317,0.000182,3,2,1
38,-0.000078,0.000307,-0.000155,3,3,1
39,0.000038,-0.000194,0.000076,3,4,1
40,0.000081,-0.000036,0.000162,3,5,1
41,0.000054,0.000287,0.000109,3,6,1
42,-0.000285,0.000267,-0.000571,3,7,1
43,-0.000007,-0.000037,-0.000014,3,8,1
44,0.000002,-0.000010,0.000005,3,9,1
45,0.000001,-0.000002,0.000002,3,10,1
46,0.000003,-0.000001,0.000006,3,11,1
47,0.000000,0.000000,0.000001,3,12,1
48,-0.000002,-0.000001,-0.000005,3,13,1
49,0.000000,0.000000,0.000000,3,14,1
50,-0.000000,-0.000000,-0.000000,3,15,1
51,0.000000,0.000000,0.000000,3,16,1
52,-0.000000,0.000000,-0.000000,3,17,1
53,-0.000000,-0.000001,-0.000001,3,18,1
54,0.000161,0.000514,0.000322,4,1,1
55,0.000080,-0.000258,0.000161,4,2,1
56,0.000030,0.000165,0.000059,4,3,1
57,0.000041,0.000326,0.000082,4,4,1
58,-0.000115,0.000315,-0.000229,4,5,1
59,0.000117,0.000089,0.000233,4,6,1
60,-0.000072,0.000164,-0.000144,4,7,1
61,-0.000012,-0.000033,-0.000024,4,8,1
62,0.000004,-0.000010,0.000007,4,9,1
63,0.000000,-0.000001,0.000000,4,10,1
64,0.000003,-0.000001,0.000006,4,11,1
65,0.000000,-0.000001,0.000001,4,12,1
66,-0.000002,-0.000000,-0.000004,4,13,1
67,0.000000,0.000000,0.000000,4,14,1
68,-0.000000,-0.000000,-0.000000,4,15,1
69,0.000000,0.000000,0.000000,4,16,1
70,-0.000000,0.000000,-0.000000,4,17,1
71,-0.000000,0.000001,-0.000001,4,18,1
72,-0.000124,0.000346,-0.000248,5,1,1
73,-0.000063,0.000165,-0.000126,5,2,1
74,-0.000039,0.000036,-0.000078,5,3,1
75,-0.000041,0.000367,-0.000082,5,4,1
76,-0.000080,0.000109,-0.000160,5,5,1
77,-0.000150,0.000213,-0.000300,5,6,1
78,-0.000134,0.000078,-0.000267,5,7,1
79,0.000001,-0.000031,0.000003,5,8,1
80,0.000002,-0.000008,0.000005,5,9,1
81,0.000001,-0.000002,0.000001,5,10,1
82,0.000003,0.000002,0.000007,5,11,1
83,0.000000,0.000000,0.000001,5,12,1
84,-0.000003,-0.000001,-0.000006,5,13,1
85,0.000000,0.000000,0.000000,5,14,1
86,-0.000000,-0.000000,-0.000000,5,15,1
87,0.000000,0.000000,0.000000,5,16,1
88,-0.000000,-0.000000,-0.000000,5,17,1
89,-0.000000,-0.000000,-0.000001,5,18,1
90,0.000270,0.000072,0.000539,6,1,1
91,0.000002,0.000018,0.000005,6,2,1
92,0.000014,0.000065,0.000028,6,3,1
93,0.000170,-0.000151,0.000340,6,4,1
94,-0.000054,0.000177,-0.000107,6,5,1
95,0.000120,0.000262,0.000240,6,6,1
96,0.000025,-0.000356,0.000049,6,7,1
97,-0.000010,-0.000052,-0.000021,6,8,1
98,-0.000001,-0.000003,-0.000002,6,9,1
99,0.000001,-0.000001,0.000002,6,10,1
100,0.000003,-0.000001,0.000006,6,11,1
101,0.000000,-0.000000,0.000001,6,12,1
102,-0.000003,-0.000001,-0.000006,6,13,1
103,0.000000,0.000000,0.000000,6,14,1
104,-0.000000,-0.000000,-0.000000,6,15,1
105,0.000000,0.000000,0.000000,6,16,1
106,-0.000000,0.000000,-0.000000,6,17,1
107,-0.000000,0.000001,-0.000000,6,18,1
108,-0.000105,0.000495,-0.000211,7,1,1
109,0.000253,0.000139,0.000505,7,2,1
110,-0.000155,0.000103,-0.000310,7,3,1
111,0.000057,0.000261,0.000115,7,4,1
112,-0.000052,0.000276,-0.000104,7,5,1
113,-0.000044,0.000323,-0.000088,7,6,1
114,0.000016,-0.000288,0.000033,7,7,1
115,0.000002,-0.000067,0.000004,7,8,1
116,-0.000001,-0.000008,-0.000001,7,9,1
117,0.000001,-0.000002,0.000001,7,10,1
118,0.000004,0.000001,0.000008,7,11,1
119,0.000000,-0.000000,0.000001,7,12,1
120,-0.000004,-0.000002,-0.000007,7,13,1
121,0.000000,0.000000,0.000000,7,14,1
122,-0.000000,-0.000000,-0.000000,7,15,1
123,0.000000,0.000000,0.000000,7,16,1
124,-0.000000,-0.000000,-0.000000,7,17,1
125,0.000000,-0.000000,0.000000,7,18,1
126,-0.000144,0.000278,-0.000288,8,1,1
127,0.000072,0.000093,0.000145,8,2,1
128,0.000037,-0.000190,0.000073,8,3,1
129,-0.000037,0.000230,-0.000075,8,4,1
130,-0.000066,0.000329,-0.000133,8,5,1
131,-0.000176,0.000143,-0.000351,8,6,1
132,-0.000144,-0.000347,-0.000288,8,7,1
133,-0.000000,-0.000059,-0.000000,8,8,1
134,0.000004,-0.000009,0.000007,8,9,1
135,0.000002,-0.000001,0.000003,8,10,1
136,0.000005,-0.000001,0.000010,8,11,1
137,0.000001,-0.000000,0.000001,8,12,1
138,-0.000003,-0.000002,-0.000007,8,13,1
