,tx,ty,tz,PL,Zlayer,angle
0,0.000303,-0.001809,0.000606,1,1,1
1,-0.000399,0.000597,-0.000798,1,2,1
2,-0.000249,-0.000419,-0.000497,1,3,1
3,-0.000272,0.000062,-0.000543,1,4,1
4,0.000004,0.000000,0.000007,1,5,1
5,0.000000,0.000000,0.000001,1,6,1
6,0.000000,0.000000,0.000000,1,7,1
7,-0.000008,-0.000005,-0.000016,1,8,1
8,0.000269,-0.000789,0.000539,1,9,1
9,0.000042,0.000558,0.000085,1,10,1
10,0.000162,0.000410,0.000324,1,11,1
11,-0.000211,0.001873,-0.000421,1,12,1
12,-0.000003,0.000004,-0.000006,1,13,1
13,-0.000000,-0.000000,-0.000000,1,14,1
14,0.000000,0.000000,0.000000,1,15,1
15,0.000001,0.000002,0.000001,1,16,1
16,0.000268,-0.002287,0.000536,2,1,1
17,-0.000119,0.002073,-0.000237,2,2,1
18,0.000042,-0.000712,0.000084,2,3,1
19,-0.000155,-0.000380,-0.000309,2,4,1
20,0.000002,0.000000,0.000004,2,5,1
21,0.000000,0.000000,0.000001,2,6,1
22,-0.000000,0.000000,-0.000000,2,7,1
23,-0.000007,0.000001,-0.000013,2,8,1
24,-0.000679,-0.000081,-0.001358,2,9,1
25,0.000419,0.000466,0.000838,2,10,1
26,-0.000238,-0.000087,-0.000476,2,11,1
27,0.000333,0.001959,0.000667,2,12,1
28,-0.000002,0.000001,-0.000005,2,13,1
29,-0.000000,0.000000,-0.000000,2,14,1
30,0.000000,0.000000,0.000000,2,15,1
31,0.000001,-0.000000,0.000003,2,16,1
32,0.000378,-0.000920,0.000755,3,1,1
33,-0.000197,-0.000115,-0.000395,3,2,1
34,0.000185,-0.000935,0.000370,3,3,1
35,0.000079,0.000093,0.000157,3,4,1
36,0.000001,-0.000005,0.000002,3,5,1
37,0.000000,0.000000,0.000000,3,6,1
38,-0.000000,0.000000,-0.000000,3,7,1
39,-0.000008,0.000004,-0.000016,3,8,1
40,0.000170,-0.000516,0.000339,3,9,1
41,0.000120,0.001325,0.000239,3,10,1
42,0.000348,-0.001148,0.000696,3,11,1
43,0.000035,0.002667,0.000069,3,12,1
44,-0.000002,0.000005,-0.000004,3,13,1
45,-0.000000,-0.000000,-0.000000,3,14,1
46,0.000000,0.000000,0.000000,3,15,1
47,-0.000000,0.000006,-0.000001,3,16,1
48,-0.000099,-0.000662,-0.000198,4,1,1
49,-0.000047,0.000342,-0.000094,4,2,1
50,0.000089,-0.001165,0.000178,4,3,1
51,0.000186,0.000873,0.000371,4,4,1
52,0.000005,-0.000002,0.000010,4,5,1
53,0.000000,-0.000000,0.000001,4,6,1
54,0.000000,0.000000,0.000000,4,7,1
55,-0.000010,-0.000007,-0.000020,4,8,1
56,-0.000191,-0.001084,-0.000382,4,9,1
57,0.000693,-0.000026,0.001386,4,10,1
58,0.000159,0.000397,0.000319,4,11,1
59,-0.000581,0.001610,-0.001162,4,12,1
60,-0.000007,-0.000006,-0.000014,4,13,1
61,-0.000000,-0.000000,-0.000000,4,14,1
62,0.000000,0.000000,0.000000,4,15,1
63,-0.000001,0.000002,-0.000002,4,16,1
64,-0.000129,-0.001069,-0.000258,5,1,1
65,0.000013,0.000700,0.000025,5,2,1
66,0.000165,-0.001088,0.000331,5,3,1
67,-0.000031,0.000312,-0.000063,5,4,1
68,0.000002,0.000008,0.000004,5,5,1
69,0.000000,-0.000001,0.000000,5,6,1
70,-0.000000,-0.000000,-0.000000,5,7,1
71,-0.000005,0.000002,-0.000010,5,8,1
72,0.000062,-0.000118,0.000123,5,9,1
73,0.000442,0.001106,0.000885,5,10,1
74,-0.000297,-0.000679,-0.000594,5,11,1
75,0.000131,0.001992,0.000263,5,12,1
76,-0.000002,-0.000003,-0.000005,5,13,1
77,-0.000000,-0.000000,-0.000000,5,14,1
78,0.000000,0.000000,0.000000,5,15,1
79,0.000000,-0.000003,0.000000,5,16,1
80,-0.000377,-0.001830,-0.000754,6,1,1
81,-0.000467,0.000753,-0.000934,6,2,1
82,-0.000234,-0.000901,-0.000468,6,3,1
83,-0.000257,0.001866,-0.000514,6,4,1
84,0.000006,-0.000005,0.000012,6,5,1
85,0.000000,-0.000000,0.000000,6,6,1
86,-0.000000,-0.000001,-0.000000,6,7,1
87,-0.000005,0.000002,-0.000011,6,8,1
88,-0.000109,-0.001202,-0.000218,6,9,1
89,0.000026,-0.000026,0.000052,6,10,1
90,-0.000135,-0.001840,-0.000270,6,11,1
91,0.000232,0.002102,0.000465,6,12,1
92,-0.000001,0.000003,-0.000001,6,13,1
93,-0.000000,0.000000,-0.000000,6,14,1
94,0.000000,-0.000000,0.000000,6,15,1
95,0.000001,-0.000003,0.000001,6,16,1
96,0.000047,-0.002478,0.000093,7,1,1
97,-0.000210,0.000868,-0.000420,7,2,1
98,-0.000144,-0.001491,-0.000288,7,3,1
99,0.000457,0.000695,0.000914,7,4,1
100,0.000010,0.000016,0.000020,7,5,1
101,0.000000,-0.000001,0.000001,7,6,1
102,-0.000000,-0.000000,-0.000000,7,7,1
103,-0.000004,-0.000003,-0.000008,7,8,1
104,-0.000208,0.000167,-0.000416,7,9,1
105,0.000267,0.000328,0.000535,7,10,1
106,0.000588,-0.001434,0.001177,7,11,1
107,0.000156,0.001517,0.000313,7,12,1
108,-0.000001,0.000005,-0.000002,7,13,1
109,-0.000000,-0.000000,-0.000000,7,14,1
110,0.000000,-0.000000,0.000000,7,15,1
111,0.000001,0.000000,0.000002,7,16,1
112,-0.000321,-0.001452,-0.000641,8,1,1
113,-0.000051,-0.000540,-0.000102,8,2,1
114,-0.000328,0.000691,-0.000655,8,3,1
115,0.000073,0.000605,0.000146,8,4,1
116,0.000002,0.000009,0.000005,8,5,1
117,0.000000,-0.000000,0.000001,8,6,1
118,0.000000,-0.000000,0.000000,8,7,1
119,-0.000006,-0.000002,-0.000012,8,8,1
120,-0.000399,-0.000570,-0.000797,8,9,1
121,0.000365,0.000067,0.000729,8,10,1
122,0.000223,-0.000258,0.000445,8,11,1
123,0.000426,0.001626,0.000852,8,12,1
124,0.000000,-0.000000,0.000000,8,13,1
125,-0.000000,-0.000000,-0.000000,8,14,1
126,0.000000,-0.000000,0.000000,8,15,1
127,0.000000,-0.000003,0.000000,8,16,1
128,-0.000432,-0.002555,-0.000865,9,1,1
129,0.000410,0.000374,0.000820,9,2,1
130,-0.000082,-0.000666,-0.000164,9,3,1
131,0.000063,0.001973,0.000127,9,4,1
132,0.000002,0.000012,0.000003,9,5,1
133,0.000000,0.000001,0.000001,9,6,1
134,-0.000000,0.000000,-0.000000,9,7,1
135,-0.000014,0.000015,-0.000028,9,8,1
136,-0.000749,-0.001076,-0.001497,9,9,1
137,-0.000181,-0.000049,-0.000361,9,10,1
138,-0.000203,0.000292,-0.000406,9,11,1
139,0.000125,0.001134,0.000251,9,12,1
140,-0.000001,0.000006,-0.000003,9,13,1
141,-0.000000,0.000000,-0.000000,9,14,1
142,0.000000,-0.000000,0.000000,9,15,1
143,0.000004,-0.000003,0.000008,9,16,1
144,0.000387,-0.003603,0.000774,10,1,1
145,-0.000243,0.002469,-0.000486,10,2,1
146,-0.000479,-0.000880,-0.000959,10,3,1
147,-0.000844,0.001719,-0.001688,10,4,1
148,0.000003,0.000003,0.000007,10,5,1
149,0.000000,0.000001,0.000001,10,6,1
150,-0.000000,0.000001,-0.000000,10,7,1
151,-0.000006,-0.000013,-0.000012,10,8,1
152,-0.000149,-0.000054,-0.000297,10,9,1
153,0.000162,0.001575,0.000323,10,10,1
154,0.000453,-0.000721,0.000905,10,11,1
155,0.000277,0.003851,0.000553,10,12,1
156,-0.000005,0.000011,-0.000009,10,13,1
157,-0.000000,0.000000,-0.000000,10,14,1
158,0.000000,-0.000000,0.000000,10,15,1
159,0.000001,-0.000003,0.000002,10,16,1
160,-0.000030,-0.001937,-0.000060,11,1,1
161,-0.000162,0.001454,-0.000324,11,2,1
162,-0.000130,-0.000644,-0.000260,11,3,1
163,-0.000232,-0.001565,-0.000465,11,4,1
164,0.000007,0.000004,0.000013,11,5,1
165,0.000000,0.000000,0.000001,11,6,1
166,0.000000,0.000000,0.000000,11,7,1
167,-0.000002,0.000001,-0.000004,11,8,1
168,-0.000509,-0.000680,-0.001019,11,9,1
169,0.000171,0.001094,0.000341,11,10,1
170,0.000257,-0.000457,0.000513,11,11,1
171,-0.000409,0.003300,-0.000818,11,12,1
172,-0.000002,-0.000003,-0.000003,11,13,1
173,-0.000000,0.000000,-0.000000,11,14,1
174,0.000000,-0.000000,0.000000,11,15,1
175,0.000002,-0.000006,0.000004,11,16,1
176,0.000465,-0.002169,0.000930,12,1,1
177,0.000227,0.000323,0.000455,12,2,1
178,0.000270,-0.000342,0.000539,12,3,1
179,-0.000184,-0.000141,-0.000369,12,4,1
180,-0.000004,-0.000014,-0.000008,12,5,1
181,0.000001,0.000000,0.000001,12,6,1
182,0.000000,0.000001,0.000000,12,7,1
183,-0.000002,0.000010,-0.000004,12,8,1
184,0.000315,-0.000420,0.000631,12,9,1
185,-0.000049,-0.000144,-0.000098,12,10,1
186,0.000183,-0.001863,0.000367,12,11,1
187,-0.000525,0.003316,-0.001049,12,12,1
188,-0.000005,0.000001,-0.000010,12,13,1
189,-0.000000,0.000000,-0.000000,12,14,1
190,0.000000,0.000000,0.000000,12,15,1
191,0.000000,-0.000003,0.000000,12,16,1
192,-0.000063,-0.002476,-0.000126,13,1,1
193,-0.000273,0.000739,-0.000546,13,2,1
194,0.000109,-0.000476,0.000219,13,3,1
195,-0.000606,-0.000632,-0.001211,13,4,1
196,-0.000000,-0.000005,-0.000001,13,5,1
197,0.000001,0.000000,0.000001,13,6,1
198,0.000000,0.000001,0.000000,13,7,1
199,0.000002,-0.000000,0.000003,13,8,1
200,0.000447,-0.000313,0.000894,13,9,1
201,-0.000291,0.001163,-0.000582,13,10,1
202,0.000537,-0.002390,0.001075,13,11,1
203,-0.000123,0.001498,-0.000247,13,12,1
204,-0.000002,0.000010,-0.000004,13,13,1
205,-0.000000,-0.000000,-0.000000,13,14,1
206,0.000000,0.000000,0.000000,13,15,1
207,-0.000001,0.000000,-0.000002,13,16,1
208,-0.000234,0.000036,-0.000468,14,1,1
209,0.000257,0.000871,0.000514,14,2,1
210,-0.000039,-0.002476,-0.000079,14,3,1
211,0.000295,0.000287,0.000589,14,4,1
212,0.000001,0.000002,0.000003,14,5,1
213,0.000000,0.000001,0.000001,14,6,1
214,0.000000,0.000001,0.000001,14,7,1
215,-0.000011,-0.000015,-0.000022,14,8,1
216,-0.000363,-0.000494,-0.000726,14,9,1
217,0.000187,-0.000012,0.000375,14,10,1
218,0.000512,-0.001063,0.001024,14,11,1
219,-0.000252,0.001784,-0.000504,14,12,1
220,-0.000000,0.000001,-0.000000,14,13,1
221,0.000000,-0.000000,0.000000,14,14,1
222,0.000000,0.000000,0.000000,14,15,1
223,0.000002,0.000001,0.000004,14,16,1
224,-0.000270,-0.002315,-0.000540,15,1,1
225,0.000034,0.000608,0.000069,15,2,1
226,-0.000390,-0.000175,-0.000780,15,3,1
227,0.000164,-0.001997,0.000327,15,4,1
228,0.000007,0.000004,0.000014,15,5,1
229,0.000000,0.000000,0.000001,15,6,1
230,0.000000,0.000001,0.000001,15,7,1
231,-0.000006,-0.000027,-0.000012,15,8,1
232,-0.000111,-0.000145,-0.000222,15,9,1
233,0.000678,-0.000097,0.001355,15,10,1
234,0.000623,-0.000673,0.001246,15,11,1
235,0.000088,0.002434,0.000176,15,12,1
236,0.000000,-0.000000,0.000000,15,13,1
237,-0.000000,0.000000,-0.000000,15,14,1
238,0.000000,-0.000000,0.000000,15,15,1
239,0.000001,-0.000003,0.000002,15,16,1
240,0.000130,-0.002298,0.000261,16,1,1
241,-0.000350,-0.000036,-0.000701,16,2,1
242,0.000002,-0.000919,0.000004,16,3,1
243,-0.000202,0.001474,-0.000405,16,4,1
244,0.000011,-0.000022,0.000021,16,5,1
245,0.000000,0.000000,0.000000,16,6,1
246,0.000000,0.000000,0.000000,16,7,1
247,-0.000007,-0.000001,-0.000013,16,8,1
248,-0.000503,-0.002078,-0.001007,16,9,1
249,0.000123,0.000947,0.000247,16,10,1
250,-0.000121,0.000077,-0.000242,16,11,1
251,-0.000562,0.003701,-0.001124,16,12,1
252,-0.000001,0.000012,-0.000003,16,13,1
253,-0.000000,0.000000,-0.000000,16,14,1
254,0.000000,-0.000000,0.000000,16,15,1
255,0.000001,0.000001,0.000002,16,16,1
256,-0.000489,-0.003189,-0.000978,17,1,1
257,-0.000026,0.001425,-0.000052,17,2,1
258,-0.000182,0.000627,-0.000364,17,3,1
259,0.000417,-0.001633,0.000833,17,4,1
260,0.000003,0.000003,0.000006,17,5,1
261,0.000000,-0.000000,0.000000,17,6,1
262,-0.000000,0.000000,-0.000000,17,7,1
263,-0.000000,0.000011,-0.000000,17,8,1
264,0.000594,-0.000554,0.001187,17,9,1
265,-0.000822,0.000494,-0.001643,17,10,1
266,0.000021,-0.001885,0.000043,17,11,1
267,0.000041,0.001322,0.000082,17,12,1
268,-0.000004,0.000002,-0.000007,17,13,1
269,-0.000000,-0.000000,-0.000000,17,14,1
270,-0.000000,0.000000,-0.000000,17,15,1
271,-0.000001,0.000003,-0.000002,17,16,1
272,-0.000320,-0.001815,-0.000640,18,1,1
273,-0.000256,0.000460,-0.000512,18,2,1
274,-0.000427,-0.000375,-0.000855,18,3,1
275,-0.000491,0.001719,-0.000982,18,4,1
276,0.000005,0.000009,0.000009,18,5,1
277,0.000000,-0.000001,0.000000,18,6,1
278,-0.000000,-0.000000,-0.000001,18,7,1
279,-0.000003,0.000004,-0.000006,18,8,1
280,0.000024,0.000629,0.000048,18,9,1
281,-0.000075,-0.001492,-0.000151,18,10,1
282,0.000208,-0.000176,0.000416,18,11,1
283,0.000436,0.000987,0.000872,18,12,1
284,-0.000003,-0.000001,-0.000005,18,13,1
285,0.000000,-0.000000,0.000000,18,14,1
286,0.000000,-0.000000,0.000000,18,15,1
287,0.000003,-0.000007,0.000005,18,16,1
288,-0.000007,-0.003137,-0.000014,19,1,1
289,0.000387,0.000755,0.000773,19,2,1
290,-0.000004,0.000348,-0.000007,19,3,1
291,0.000361,0.000117,0.000722,19,4,1
292,0.000001,0.000000,0.000002,19,5,1
293,0.000000,0.000000,0.000001,19,6,1
294,0.000000,0.000000,0.000000,19,7,1
295,-0.000008,0.000019,-0.000016,19,8,1
296,0.000540,0.001531,0.001080,19,9,1
