,tx,ty,tz,PL,Zlayer,angle
0,-0.000073,0.002259,-0.000147,1,1,1
1,0.000083,-0.000801,0.000166,1,2,1
2,0.000072,0.000568,0.000144,1,3,1
3,0.000124,-0.000514,0.000247,1,4,1
4,-0.000005,-0.000000,-0.000009,1,5,1
5,-0.000000,0.000000,-0.000000,1,6,1
6,0.000000,0.000000,0.000000,1,7,1
7,0.000004,-0.000001,0.000008,1,8,1
8,-0.000119,0.000098,-0.000237,1,9,1
9,-0.000072,-0.001019,-0.000143,1,10,1
10,-0.000373,0.000521,-0.000746,1,11,1
11,0.000262,-0.002413,0.000524,1,12,1
12,0.000000,0.000000,0.000000,1,13,1
13,0.000000,0.000000,0.000000,1,14,1
14,-0.000000,-0.000000,-0.000000,1,15,1
15,-0.000001,0.000000,-0.000002,1,16,1
16,0.000199,0.001800,0.000397,2,1,1
17,-0.000073,-0.000278,-0.000146,2,2,1
18,-0.000094,0.000216,-0.000187,2,3,1
19,0.000143,-0.000277,0.000287,2,4,1
20,-0.000005,-0.000000,-0.000010,2,5,1
21,-0.000000,0.000000,-0.000000,2,6,1
22,0.000000,0.000000,0.000000,2,7,1
23,0.000004,-0.000000,0.000007,2,8,1
24,0.000047,0.000156,0.000094,2,9,1
25,-0.000023,-0.000578,-0.000046,2,10,1
26,-0.000313,0.000690,-0.000627,2,11,1
27,0.000236,-0.001972,0.000473,2,12,1
28,0.000001,-0.000000,0.000002,2,13,1
29,0.000000,0.000000,0.000000,2,14,1
30,-0.000000,-0.000000,-0.000000,2,15,1
31,-0.000001,0.000001,-0.000001,2,16,1
32,0.000056,0.001555,0.000111,3,1,1
33,-0.000079,-0.000566,-0.000158,3,2,1
34,-0.000035,-0.000212,-0.000070,3,3,1
35,0.000080,-0.000095,0.000160,3,4,1
36,-0.000005,-0.000005,-0.000010,3,5,1
37,-0.000000,0.000000,-0.000000,3,6,1
38,0.000000,0.000000,0.000000,3,7,1
39,0.000004,0.000002,0.000007,3,8,1
40,0.000012,-0.000204,0.000025,3,9,1
41,-0.000167,-0.000088,-0.000334,3,10,1
42,-0.000097,0.000335,-0.000194,3,11,1
43,0.000068,-0.001701,0.000135,3,12,1
44,0.000001,-0.000002,0.000001,3,13,1
45,0.000000,0.000000,0.000000,3,14,1
46,-0.000000,-0.000000,-0.000000,3,15,1
47,-0.000002,-0.000000,-0.000003,3,16,1
48,0.000290,0.001628,0.000581,4,1,1
49,0.000103,-0.001036,0.000206,4,2,1
50,0.000170,0.000749,0.000339,4,3,1
51,-0.000178,-0.000416,-0.000355,4,4,1
52,-0.000005,0.000003,-0.000009,4,5,1
53,-0.000000,0.000000,-0.000000,4,6,1
54,0.000000,0.000000,0.000000,4,7,1
55,0.000007,-0.000003,0.000014,4,8,1
56,0.000461,0.000062,0.000922,4,9,1
57,-0.000103,-0.000509,-0.000206,4,10,1
58,0.000042,0.000482,0.000085,4,11,1
59,0.000200,-0.001364,0.000401,4,12,1
60,0.000001,-0.000003,0.000002,4,13,1
61,0.000000,0.000000,0.000000,4,14,1
62,-0.000000,-0.000000,-0.000000,4,15,1
