,tx,ty,tz,PL,Zlayer,angle
0,-0.00013238375000000004,-0.0012712851666666666,-0.000264774,1,1,1
1,7.6224e-05,-0.0006059146666666667,0.00015244783333333333,1,2,1
2,-0.00031631666666666667,-0.00015066183333333334,-0.0006326183333333333,1,3,1
3,0.00015057955,-0.00031860766666666663,0.000301159,1,4,1
4,-7.156833333333335e-05,0.00017467886666666668,-0.00014313299999999996,1,5,1
5,1.4535966666666652e-05,0.0002737553868333333,2.9074833333333355e-05,1,6,1
6,-2.366631666666667e-05,0.00026327183333333336,-4.733494999999997e-05,1,7,1
7,1.5624166666666685e-05,-0.0008246841666666666,3.1246166666666686e-05,1,8,1
8,2.001586e-05,3.1102494999999995e-05,4.003173333333334e-05,1,9,1
9,1.443333333333333e-06,8.640136666666667e-06,2.886631666666667e-06,1,10,1
10,-7.752637333333334e-07,4.890336666666666e-07,-1.5505606666666667e-06,1,11,1
11,-4.3227783333333333e-07,-7.135309999999999e-07,-8.645623333333332e-07,1,12,1
12,-1.1847163333333333e-07,1.5259000000000002e-07,-2.3694974999999998e-07,1,13,1
13,2.9495416666666665e-07,1.3835666666666671e-08,5.899081666666666e-07,1,14,1
14,1.0080413333333333e-07,-1.7454254999999999e-07,2.0160939999999998e-07,1,15,1
15,-3.0639649999999995e-06,-3.630499499999999e-07,-6.128e-06,1,16,1
16,-1.09967e-08,-8.66955e-09,-2.19935e-08,1,17,1
17,4.9846166666666665e-11,5.444416666666666e-11,9.969133333333333e-11,1,18,1
18,0.0,0.0,0.0,1,19,1
19,-4.3348500000000003e-10,-1.2111666666666667e-10,-8.669416666666667e-10,1,20,1
20,3.1598411333333334e-07,-2.9023099999999995e-07,6.319682266666667e-07,1,21,1
21,0.0005207098333333333,0.00016546236666666663,0.0010414135,2,1,1
22,-0.0002794678333333333,-0.00010986999999999996,-0.0005589303333333332,2,2,1
23,1.5512271666666667e-05,0.0001192462,3.1023195000000004e-05,2,3,1
24,6.712436666666666e-05,0.0006802604500000001,0.00013424275000000003,2,4,1
25,0.0001130107,0.00010684064999999999,0.00022602103333333332,2,5,1
26,-4.2499483333333325e-05,4.877056666666662e-05,-8.499894999999997e-05,2,6,1
27,-7.742166666666668e-06,0.0002477413333333333,-1.5484000000000003e-05,2,7,1
28,-4.6015e-05,0.00021020333333333333,-9.203231666666666e-05,2,8,1
29,2.9359633333333333e-05,3.523541666666667e-05,5.871933333333333e-05,2,9,1
30,5.537494999999999e-06,6.146170333333333e-06,1.1075068333333334e-05,2,10,1
31,5.966473333333333e-07,7.339866666666665e-07,1.1933e-06,2,11,1
32,-2.165206666666667e-07,2.5488766666666663e-07,-4.3303350000000005e-07,2,12,1
33,-3.254065e-07,5.818935e-07,-6.508081666666667e-07,2,13,1
34,1.513305e-07,1.9573083333333332e-07,3.0266016666666666e-07,2,14,1
35,3.2958721666666664e-07,-1.0780036666666665e-07,6.591746166666667e-07,2,15,1
36,-6.323533333333334e-06,-4.1029116666666665e-06,-1.2647050000000001e-05,2,16,1
37,-1.1107166666666666e-08,-5.8455966666666665e-09,-2.221436666666667e-08,2,17,1
38,5.053883333333334e-11,2.560733333333333e-11,1.0107716666666667e-10,2,18,1
39,0.0,0.0,0.0,2,19,1
40,-7.29615e-10,-7.247516666666667e-10,-1.4592466666666668e-09,2,20,1
41,4.932133333333334e-07,9.428266666666671e-08,9.864133333333333e-07,2,21,1
42,0.0008397705666666668,0.0004796581205,0.00167954315,3,1,1
