,tx,ty,tz,PL,Zlayer,angle
0,-0.000079,0.000469,0.000159,70,1,1
1,-0.000003,0.000120,0.000005,70,2,1
2,-0.000055,0.000009,0.000110,70,3,1
3,-0.000016,0.000145,0.000032,70,4,1
4,0.000010,-0.000149,-0.000021,70,5,1
5,0.000078,-0.000071,-0.000155,70,6,1
6,-0.000016,0.000433,0.000033,70,7,1
7,0.000033,-0.000051,-0.000066,70,8,1
8,-0.000063,-0.000099,0.000126,70,9,1
9,0.000047,0.000322,-0.000094,70,10,1
10,0.000003,-0.000142,-0.000007,70,11,1
11,0.000036,-0.000003,-0.000072,70,12,1
12,-0.000031,0.000021,0.000063,70,13,1
13,-0.000004,-0.000112,0.000009,70,14,1
14,0.000028,0.000047,-0.000056,70,15,1
15,-0.000021,0.000011,0.000042,70,16,1
16,0.000030,-0.000192,-0.000059,70,17,1
17,-0.000005,-0.000332,0.000010,70,18,1
18,0.000016,-0.000306,-0.000032,70,19,1
19,-0.000000,0.000000,0.000000,70,20,1
20,0.000000,-0.000000,-0.000000,70,21,1
21,0.000000,-0.000000,-0.000000,70,22,1
22,-0.000000,0.000000,0.000000,70,23,1
23,0.000000,-0.000000,-0.000000,70,24,1
24,-0.000024,0.000460,0.000048,69,1,1
25,0.000063,0.000168,-0.000126,69,2,1
26,-0.000030,0.000147,0.000061,69,3,1
27,0.000026,0.000161,-0.000052,69,4,1
28,0.000035,-0.000049,-0.000071,69,5,1
29,0.000066,0.000118,-0.000133,69,6,1
30,-0.000006,0.000031,0.000013,69,7,1
31,0.000086,0.000014,-0.000172,69,8,1
32,0.000035,-0.000036,-0.000069,69,9,1
33,-0.000046,0.000041,0.000091,69,10,1
34,0.000070,-0.000031,-0.000141,69,11,1
35,0.000078,0.000092,-0.000157,69,12,1
36,0.000104,-0.000219,-0.000208,69,13,1
37,-0.000034,0.000139,0.000068,69,14,1
38,-0.000055,0.000170,0.000111,69,15,1
39,-0.000042,-0.000059,0.000084,69,16,1
40,0.000085,-0.000106,-0.000169,69,17,1
41,-0.000014,-0.000328,0.000028,69,18,1
42,0.000114,-0.000447,-0.000229,69,19,1
43,0.000000,0.000000,-0.000000,69,20,1
44,-0.000000,-0.000000,0.000000,69,21,1
45,0.000000,-0.000000,-0.000000,69,22,1
46,-0.000000,0.000000,0.000000,69,23,1
47,-0.000000,-0.000000,0.000000,69,24,1
48,-0.000148,0.000992,0.000296,68,1,1
49,-0.000057,0.000349,0.000114,68,2,1
50,-0.000009,-0.000098,0.000018,68,3,1
51,0.000015,0.000036,-0.000030,68,4,1
52,-0.000050,-0.000079,0.000099,68,5,1
53,0.000002,0.000049,-0.000005,68,6,1
54,-0.000007,0.000146,0.000014,68,7,1
55,0.000084,-0.000206,-0.000167,68,8,1
56,-0.000031,0.000116,0.000063,68,9,1
57,-0.000041,-0.000168,0.000082,68,10,1
58,-0.000046,0.000233,0.000091,68,11,1
59,-0.000062,0.000250,0.000123,68,12,1
60,0.000070,0.000067,-0.000139,68,13,1
61,-0.000041,-0.000151,0.000083,68,14,1
62,0.000041,-0.000140,-0.000082,68,15,1
63,-0.000102,0.000224,0.000204,68,16,1
64,0.000185,-0.000103,-0.000370,68,17,1
65,-0.000019,-0.000226,0.000038,68,18,1
66,0.000007,-0.000344,-0.000013,68,19,1
67,0.000000,0.000000,-0.000001,68,20,1
68,-0.000000,-0.000000,0.000000,68,21,1
69,0.000000,-0.000000,-0.000000,68,22,1
70,0.000000,0.000000,-0.000000,68,23,1
71,-0.000000,-0.000000,0.000000,68,24,1
72,-0.000105,0.000207,0.000209,67,1,1
73,-0.000049,-0.000342,0.000098,67,2,1
74,0.000037,0.000146,-0.000074,67,3,1
75,-0.000015,0.000084,0.000030,67,4,1
76,0.000136,-0.000114,-0.000272,67,5,1
77,0.000091,0.000212,-0.000183,67,6,1
78,-0.000085,-0.000073,0.000171,67,7,1
79,0.000027,-0.000145,-0.000053,67,8,1
80,-0.000059,-0.000212,0.000119,67,9,1
81,0.000102,-0.000088,-0.000205,67,10,1
82,0.000000,-0.000051,-0.000000,67,11,1
83,-0.000045,-0.000129,0.000091,67,12,1
84,0.000061,-0.000042,-0.000122,67,13,1
85,0.000093,-0.000122,-0.000185,67,14,1
86,-0.000181,-0.000071,0.000363,67,15,1
87,0.000036,-0.000456,-0.000072,67,16,1
88,-0.000048,-0.000062,0.000097,67,17,1
89,-0.000003,0.000243,0.000005,67,18,1
90,0.000135,-0.000730,-0.000270,67,19,1
91,0.000000,0.000000,-0.000001,67,20,1
92,-0.000000,0.000000,0.000000,67,21,1
93,-0.000000,-0.000000,0.000000,67,22,1
94,0.000000,0.000000,-0.000000,67,23,1
