,tx,ty,tz,PL,Zlayer,angle
0,0.000112,-0.000424,-0.000224,1,1,1
1,0.000052,-0.000093,-0.000105,1,2,1
2,0.000012,-0.000054,-0.000024,1,3,1
3,-0.000013,-0.000103,0.000025,1,4,1
4,0.000008,0.000341,-0.000015,1,5,1
5,-0.000043,-0.000092,0.000086,1,6,1
6,0.000029,0.000056,-0.000059,1,7,1
7,-0.000012,0.000200,0.000023,1,8,1
8,-0.000032,-0.000054,0.000064,1,9,1
9,0.000046,-0.000134,-0.000092,1,10,1
10,-0.000058,0.000328,0.000116,1,11,1
11,-0.000031,-0.000089,0.000062,1,12,1
12,0.000011,-0.000180,-0.000022,1,13,1
13,-0.000058,0.000506,0.000117,1,14,1
14,-0.000012,0.000057,0.000024,1,15,1
15,0.000129,-0.000126,-0.000258,1,16,1
16,-0.000075,0.000520,0.000149,1,17,1
17,0.000152,-0.000355,-0.000304,1,18,1
18,-0.000032,0.000994,0.000065,1,19,1
19,-0.000000,-0.000001,0.000001,1,20,1
20,-0.000000,0.000000,0.000000,1,21,1
21,0.000000,-0.000000,-0.000000,1,22,1
22,0.000000,-0.000000,-0.000000,1,23,1
23,-0.000000,0.000000,0.000000,1,24,1
24,0.000056,-0.000568,-0.000111,2,1,1
25,0.000043,0.000125,-0.000085,2,2,1
26,0.000011,-0.000190,-0.000023,2,3,1
27,0.000000,-0.000164,-0.000001,2,4,1
28,-0.000063,-0.000099,0.000125,2,5,1
29,0.000049,-0.000088,-0.000099,2,6,1
30,-0.000084,0.000004,0.000168,2,7,1
31,0.000011,-0.000050,-0.000021,2,8,1
32,-0.000065,-0.000214,0.000130,2,9,1
33,0.000120,0.000327,-0.000240,2,10,1
34,0.000100,-0.000020,-0.000201,2,11,1
35,0.000072,0.000005,-0.000143,2,12,1
36,0.000091,-0.000141,-0.000183,2,13,1
37,-0.000011,0.000302,0.000022,2,14,1
38,0.000080,0.000086,-0.000159,2,15,1
39,0.000086,-0.000125,-0.000172,2,16,1
40,-0.000016,0.000034,0.000033,2,17,1
41,-0.000069,-0.000075,0.000138,2,18,1
42,-0.000147,0.000156,0.000293,2,19,1
43,-0.000001,-0.000001,0.000002,2,20,1
44,0.000000,0.000000,-0.000000,2,21,1
45,0.000000,-0.000000,-0.000000,2,22,1
46,-0.000000,-0.000000,0.000000,2,23,1
47,0.000000,0.000000,-0.000000,2,24,1
48,0.000117,-0.000735,-0.000235,3,1,1
49,-0.000099,-0.000226,0.000198,3,2,1
50,0.000050,-0.000516,-0.000100,3,3,1
51,-0.000000,0.000236,0.000000,3,4,1
52,-0.000224,-0.000057,0.000449,3,5,1
53,0.000032,0.000121,-0.000065,3,6,1
54,-0.000016,0.000099,0.000032,3,7,1
55,0.000086,-0.000120,-0.000171,3,8,1
56,0.000108,-0.000139,-0.000215,3,9,1
57,0.000040,-0.000063,-0.000080,3,10,1
58,0.000012,0.000040,-0.000025,3,11,1
59,-0.000013,-0.000087,0.000027,3,12,1
60,-0.000011,-0.000234,0.000022,3,13,1
61,-0.000070,0.000102,0.000139,3,14,1
62,0.000070,0.000414,-0.000141,3,15,1
63,0.000282,0.000129,-0.000564,3,16,1
64,-0.000027,0.000064,0.000054,3,17,1
65,-0.000009,-0.000095,0.000018,3,18,1
66,-0.000204,0.000100,0.000408,3,19,1
67,-0.000001,-0.000001,0.000002,3,20,1
68,0.000000,0.000000,-0.000000,3,21,1
69,-0.000000,-0.000000,0.000000,3,22,1
70,-0.000000,-0.000000,0.000000,3,23,1
71,0.000000,0.000000,-0.000000,3,24,1
72,-0.000037,-0.000660,0.000075,4,1,1
73,0.000065,-0.000021,-0.000130,4,2,1
74,0.000015,0.000186,-0.000029,4,3,1
75,0.000035,-0.000159,-0.000070,4,4,1
76,0.000054,-0.000228,-0.000108,4,5,1
77,-0.000074,-0.000146,0.000148,4,6,1
78,-0.000072,0.000061,0.000145,4,7,1
79,-0.000046,0.000456,0.000093,4,8,1
80,-0.000040,0.000335,0.000080,4,9,1
81,-0.000015,0.000141,0.000029,4,10,1
82,0.000070,0.000156,-0.000141,4,11,1
83,0.000198,0.000189,-0.000397,4,12,1
84,0.000021,0.000312,-0.000042,4,13,1
85,0.000131,0.000446,-0.000261,4,14,1
86,-0.000151,0.000703,0.000302,4,15,1
87,0.000153,0.000151,-0.000305,4,16,1
88,0.000060,0.000091,-0.000119,4,17,1
89,-0.000003,0.000178,0.000007,4,18,1
90,-0.000169,-0.000017,0.000339,4,19,1
91,-0.000001,-0.000001,0.000001,4,20,1
92,0.000000,0.000000,-0.000000,4,21,1
93,-0.000000,-0.000000,0.000000,4,22,1
94,-0.000000,-0.000000,0.000000,4,23,1
95,0.000000,0.000000,-0.000000,4,24,1
96,-0.000021,0.000073,0.000042,5,1,1
97,-0.000123,0.000076,0.000246,5,2,1
98,0.000089,-0.000046,-0.000177,5,3,1
99,0.000183,0.000008,-0.000366,5,4,1
100,0.000021,0.000118,-0.000041,5,5,1
101,0.000005,-0.000350,-0.000010,5,6,1
102,-0.000083,-0.000048,0.000166,5,7,1
103,0.000095,0.000098,-0.000191,5,8,1
104,-0.000005,0.000008,0.000010,5,9,1
105,-0.000065,-0.000543,0.000130,5,10,1
106,-0.000081,0.000011,0.000163,5,11,1
107,-0.000065,-0.000018,0.000129,5,12,1
108,0.000010,0.000070,-0.000021,5,13,1
109,0.000125,-0.000007,-0.000250,5,14,1
110,-0.000083,0.000078,0.000166,5,15,1
111,0.000222,0.000072,-0.000445,5,16,1
112,0.000043,0.000055,-0.000086,5,17,1
113,-0.000014,0.000135,0.000028,5,18,1
114,-0.000182,0.000099,0.000363,5,19,1
115,-0.000001,-0.000000,0.000001,5,20,1
116,0.000000,0.000000,-0.000000,5,21,1
117,-0.000000,-0.000000,0.000000,5,22,1
118,-0.000000,-0.000000,0.000000,5,23,1
119,0.000000,0.000000,-0.000000,5,24,1
120,0.000073,0.000079,-0.000146,6,1,1
121,0.000033,-0.000440,-0.000067,6,2,1
122,-0.000014,0.000158,0.000029,6,3,1
123,0.000048,-0.000117,-0.000096,6,4,1
124,0.000019,-0.000008,-0.000037,6,5,1
125,-0.000189,-0.000201,0.000378,6,6,1
126,0.000113,-0.000153,-0.000225,6,7,1
127,-0.000039,0.000038,0.000079,6,8,1
128,-0.000082,-0.000069,0.000164,6,9,1
129,0.000124,0.000258,-0.000249,6,10,1
130,-0.000113,0.000276,0.000226,6,11,1
131,-0.000152,-0.000300,0.000304,6,12,1
132,0.000036,0.000012,-0.000072,6,13,1
133,-0.000107,0.000033,0.000214,6,14,1
134,-0.000122,0.000442,0.000244,6,15,1
135,-0.000148,0.000553,0.000296,6,16,1
136,-0.000029,0.000100,0.000057,6,17,1
137,-0.000037,0.000088,0.000075,6,18,1
138,-0.000200,0.000127,0.000400,6,19,1
139,-0.000001,-0.000000,0.000001,6,20,1
140,0.000000,0.000000,-0.000000,6,21,1
141,0.000000,-0.000000,-0.000000,6,22,1
142,-0.000000,-0.000000,0.000000,6,23,1
143,0.000000,0.000000,-0.000000,6,24,1
144,0.000043,-0.000596,-0.000086,7,1,1
145,-0.000060,-0.000140,0.000120,7,2,1
146,0.000075,-0.000603,-0.000150,7,3,1
147,-0.000253,-0.000320,0.000506,7,4,1
148,0.000078,-0.000367,-0.000156,7,5,1
149,-0.000158,0.000058,0.000316,7,6,1
