,tx,ty,tz,PL,Zlayer,angle
0,-0.000405,0.001606,0.000810,70,1,1
1,0.000108,0.000054,-0.000216,70,2,1
2,-0.000292,-0.000082,0.000583,70,3,1
3,-0.000037,0.000496,0.000074,70,4,1
4,0.000035,0.000127,-0.000070,70,5,1
5,-0.000003,-0.000040,0.000006,70,6,1
6,-0.000030,0.000347,0.000060,70,7,1
7,0.000064,-0.000042,-0.000127,70,8,1
8,0.000036,0.000101,-0.000072,70,9,1
9,-0.000121,0.000176,0.000242,70,10,1
10,-0.000021,0.000038,0.000043,70,11,1
11,0.000048,0.000002,-0.000095,70,12,1
12,-0.000065,0.000431,0.000129,70,13,1
13,-0.000009,0.000081,0.000018,70,14,1
14,-0.000050,-0.000023,0.000099,70,15,1
15,-0.000138,0.000522,0.000276,70,16,1
16,0.000107,-0.000328,-0.000213,70,17,1
17,-0.000155,-0.000227,0.000309,70,18,1
18,0.000110,-0.000218,-0.000221,70,19,1
19,0.000000,0.000001,-0.000000,70,20,1
20,-0.000000,-0.000000,0.000000,70,21,1
21,0.000000,-0.000000,-0.000000,70,22,1
22,-0.000000,0.000000,0.000000,70,23,1
23,-0.000000,-0.000000,0.000000,70,24,1
24,-0.000205,0.000997,0.000410,69,1,1
25,0.000075,0.000501,-0.000150,69,2,1
26,-0.000022,-0.000083,0.000044,69,3,1
27,0.000097,0.000119,-0.000194,69,4,1
28,-0.000014,0.000171,0.000028,69,5,1
29,0.000041,0.000042,-0.000082,69,6,1
30,0.000043,0.000014,-0.000087,69,7,1
31,0.000055,0.000076,-0.000110,69,8,1
32,-0.000001,0.000104,0.000002,69,9,1
33,0.000084,-0.000100,-0.000168,69,10,1
34,-0.000065,0.000233,0.000130,69,11,1
35,0.000059,-0.000144,-0.000119,69,12,1
36,0.000100,0.000011,-0.000200,69,13,1
37,0.000032,0.000148,-0.000063,69,14,1
38,-0.000024,-0.000117,0.000049,69,15,1
39,0.000037,0.000043,-0.000075,69,16,1
40,0.000123,-0.000124,-0.000247,69,17,1
41,-0.000135,-0.000348,0.000269,69,18,1
42,0.000215,-0.000317,-0.000431,69,19,1
43,0.000000,0.000001,-0.000000,69,20,1
44,-0.000000,-0.000000,0.000000,69,21,1
45,0.000000,-0.000000,-0.000000,69,22,1
46,-0.000000,0.000000,0.000000,69,23,1
47,-0.000000,-0.000001,0.000000,69,24,1
48,-0.000265,0.000499,0.000530,68,1,1
49,0.000068,0.000411,-0.000136,68,2,1
50,0.000054,-0.000091,-0.000108,68,3,1
51,0.000053,0.000174,-0.000107,68,4,1
52,0.000236,0.000203,-0.000472,68,5,1
53,0.000103,0.000050,-0.000206,68,6,1
54,0.000085,-0.000210,-0.000169,68,7,1
55,0.000169,-0.000278,-0.000337,68,8,1
56,0.000064,-0.000044,-0.000128,68,9,1
57,0.000033,-0.000079,-0.000065,68,10,1
58,0.000001,-0.000115,-0.000003,68,11,1
59,0.000055,0.000002,-0.000110,68,12,1
60,0.000016,-0.000308,-0.000032,68,13,1
61,0.000036,0.000017,-0.000072,68,14,1
62,-0.000037,-0.000158,0.000074,68,15,1
63,-0.000160,0.000054,0.000319,68,16,1
64,0.000206,-0.000153,-0.000411,68,17,1
65,0.000010,-0.000090,-0.000020,68,18,1
66,0.000214,-0.000570,-0.000428,68,19,1
67,0.000000,0.000000,-0.000001,68,20,1
68,-0.000000,-0.000000,0.000000,68,21,1
69,-0.000000,-0.000000,0.000000,68,22,1
70,0.000000,0.000000,-0.000000,68,23,1
71,-0.000000,-0.000001,0.000000,68,24,1
72,-0.000452,0.000674,0.000903,67,1,1
73,0.000022,-0.000081,-0.000045,67,2,1
74,0.000031,-0.000431,-0.000063,67,3,1
75,0.000179,0.000227,-0.000358,67,4,1
76,0.000030,0.000125,-0.000060,67,5,1
77,0.000005,0.000328,-0.000010,67,6,1
78,0.000038,0.000035,-0.000076,67,7,1
79,0.000065,-0.000140,-0.000130,67,8,1
80,0.000015,0.000040,-0.000030,67,9,1
81,0.000030,0.000029,-0.000061,67,10,1
82,0.000050,-0.000124,-0.000100,67,11,1
83,-0.000038,0.000115,0.000075,67,12,1
84,-0.000051,0.000219,0.000102,67,13,1
85,0.000165,-0.000173,-0.000331,67,14,1
86,-0.000101,0.000053,0.000203,67,15,1
87,0.000031,0.000027,-0.000061,67,16,1
88,0.000050,-0.000178,-0.000101,67,17,1
89,-0.000060,-0.000405,0.000121,67,18,1
90,0.000167,0.000033,-0.000334,67,19,1
91,0.000000,0.000001,-0.000000,67,20,1
92,0.000000,-0.000000,-0.000000,67,21,1
93,0.000000,-0.000000,-0.000000,67,22,1
94,0.000000,0.000000,-0.000000,67,23,1
95,-0.000000,-0.000000,0.000000,67,24,1
96,-0.000360,0.000716,0.000721,66,1,1
97,0.000068,-0.000025,-0.000136,66,2,1
98,-0.000029,-0.000115,0.000057,66,3,1
99,0.000036,-0.000272,-0.000072,66,4,1
100,0.000047,0.000265,-0.000095,66,5,1
101,0.000083,0.000117,-0.000166,66,6,1
102,0.000004,-0.000211,-0.000008,66,7,1
103,0.000015,0.000153,-0.000029,66,8,1
104,0.000107,-0.000228,-0.000214,66,9,1
105,0.000039,-0.000221,-0.000078,66,10,1
106,0.000090,-0.000279,-0.000180,66,11,1
107,-0.000012,-0.000010,0.000025,66,12,1
108,0.000054,0.000042,-0.000109,66,13,1
109,-0.000035,0.000264,0.000069,66,14,1
110,-0.000040,0.000148,0.000080,66,15,1
111,0.000006,-0.000173,-0.000012,66,16,1
112,0.000021,0.000089,-0.000042,66,17,1
113,-0.000212,-0.000291,0.000423,66,18,1
114,0.000112,-0.000295,-0.000223,66,19,1
115,0.000000,0.000000,-0.000001,66,20,1
116,-0.000000,-0.000000,0.000000,66,21,1
117,-0.000000,-0.000000,0.000000,66,22,1
118,0.000000,0.000000,-0.000000,66,23,1
119,-0.000000,-0.000000,0.000000,66,24,1
120,-0.000358,0.000795,0.000716,65,1,1
121,0.000063,0.000493,-0.000126,65,2,1
122,-0.000039,0.000172,0.000078,65,3,1
123,0.000101,-0.000185,-0.000202,65,4,1
124,-0.000001,0.000199,0.000002,65,5,1
125,-0.000053,0.000210,0.000107,65,6,1
126,-0.000042,-0.000046,0.000083,65,7,1
127,-0.000081,0.000170,0.000161,65,8,1
128,0.000030,-0.000117,-0.000060,65,9,1
129,0.000176,-0.000420,-0.000352,65,10,1
130,0.000063,0.000161,-0.000125,65,11,1
131,0.000093,-0.000436,-0.000185,65,12,1
132,-0.000017,0.000027,0.000033,65,13,1
133,-0.000146,-0.000157,0.000292,65,14,1
134,-0.000056,-0.000138,0.000111,65,15,1
135,0.000053,0.000247,-0.000105,65,16,1
136,-0.000093,-0.000475,0.000186,65,17,1
137,-0.000182,0.000165,0.000363,65,18,1
138,0.000124,-0.000286,-0.000247,65,19,1
139,0.000000,0.000000,-0.000001,65,20,1
140,-0.000000,0.000000,0.000000,65,21,1
141,-0.000000,-0.000000,0.000000,65,22,1
142,0.000000,0.000000,-0.000000,65,23,1
143,-0.000000,-0.000000,0.000000,65,24,1
144,-0.000311,0.001002,0.000622,64,1,1
145,-0.000108,0.000030,0.000215,64,2,1
146,-0.000001,0.000733,0.000003,64,3,1
147,-0.000049,0.000319,0.000098,64,4,1
148,0.000126,0.000280,-0.000251,64,5,1
149,0.000081,-0.000010,-0.000162,64,6,1
150,0.000022,-0.000005,-0.000044,64,7,1
151,0.000043,-0.000213,-0.000086,64,8,1
152,-0.000038,-0.000210,0.000077,64,9,1
153,-0.000036,-0.000379,0.000072,64,10,1
154,0.000008,-0.000208,-0.000016,64,11,1
155,-0.000062,-0.000303,0.000123,64,12,1
156,-0.000080,0.000222,0.000160,64,13,1
157,-0.000066,-0.000292,0.000132,64,14,1
158,-0.000056,0.000013,0.000111,64,15,1
159,-0.000157,0.000289,0.000314,64,16,1
160,0.000065,-0.000587,-0.000130,64,17,1
161,-0.000114,0.000277,0.000229,64,18,1
162,0.000220,-0.000451,-0.000440,64,19,1
163,0.000000,0.000000,-0.000000,64,20,1
164,-0.000000,-0.000000,0.000000,64,21,1
165,-0.000000,-0.000000,0.000000,64,22,1
166,0.000000,0.000000,-0.000000,64,23,1
167,-0.000000,-0.000000,0.000000,64,24,1
168,-0.000485,0.000886,0.000970,63,1,1
169,-0.000020,-0.000244,0.000041,63,2,1
170,0.000007,0.000069,-0.000014,63,3,1
171,0.000272,0.000194,-0.000545,63,4,1
172,0.000092,0.000385,-0.000184,63,5,1
173,0.000065,0.000311,-0.000131,63,6,1
174,0.000142,-0.000312,-0.000283,63,7,1
175,-0.000024,-0.000123,0.000048,63,8,1
176,0.000028,0.000064,-0.000056,63,9,1
177,-0.000065,-0.000303,0.000130,63,10,1
178,0.000155,-0.000130,-0.000311,63,11,1
179,0.000041,0.000132,-0.000081,63,12,1
180,0.000075,0.000070,-0.000151,63,13,1
181,0.000039,-0.000074,-0.000077,63,14,1
182,0.000071,0.000118,-0.000142,63,15,1
183,0.000017,-0.000070,-0.000034,63,16,1
184,0.000039,-0.000140,-0.000079,63,17,1
185,-0.000041,-0.000397,0.000081,63,18,1
186,0.000277,-0.000010,-0.000554,63,19,1
187,0.000000,0.000001,-0.000001,63,20,1
188,-0.000000,-0.000000,0.000000,63,21,1
189,-0.000000,-0.000000,0.000000,63,22,1
