,tx,ty,tz,PL,angle
0,-0.0006720000000000002,-0.0034079999999999996,0.001344,1,1
0,0.00045200000000000004,0.000492,-0.0009040000000000001,2,1
0,-0.0016140000000000002,-0.0025039999999999993,0.0032320000000000005,3,1
0,0.00019100000000000014,0.005458,-0.00038500000000000003,4,1
0,0.000156,-5.299999999999988e-05,-0.0003139999999999996,5,1
0,0.00041700000000000016,0.004387,-0.000833,6,1
0,-0.00028800000000000006,-2.8999999999999675e-05,0.000577,7,1
0,-0.001592,0.0019200000000000005,0.003182,8,1
0,-0.0022340000000000007,-0.0039499999999999995,0.004468,9,1
0,0.0004710000000000002,0.0024129999999999998,-0.0009450000000000007,10,1
0,0.0003770000000000004,-0.0017350000000000002,-0.0007540000000000005,11,1
0,0.0019399999999999999,-0.007206999999999999,-0.0038810000000000008,12,1
0,-0.0008849999999999999,0.0011159999999999998,0.0017729999999999994,13,1
0,-0.0013959999999999997,8.799999999999992e-05,0.0027919999999999993,14,1
0,-0.000984,0.0028319999999999994,0.0019720000000000002,15,1
0,-0.002332,-0.0007279999999999999,0.004670999999999999,16,1
0,-2.9999999999999862e-05,0.0010629999999999997,5.5999999999999626e-05,17,1
0,0.00020199999999999981,0.00091,-0.00040300000000000036,18,1
0,0.00037099999999999996,0.00054,-0.000747,19,1
0,3.299999999999991e-05,-0.0017739999999999995,-6.40000000000002e-05,20,1
0,-0.0021360000000000003,0.004265,0.004277,21,1
0,-0.0001890000000000001,0.002197,0.00037600000000000014,22,1
0,0.0007350000000000004,-0.0004159999999999997,-0.0014740000000000005,23,1
0,-0.00039800000000000013,-0.0016209999999999998,0.00079,24,1
0,-0.001311,-0.003884,0.002622999999999999,25,1
0,7.599999999999979e-05,0.003588,-0.00015300000000000014,26,1
0,0.00067,-0.00021899999999999925,-0.00134,27,1
0,-0.0011850000000000003,0.0028769999999999993,0.0023690000000000004,28,1
0,-0.0006779999999999998,-0.0004180000000000003,0.0013570000000000006,29,1
0,-0.001198,0.002638999999999999,0.002393,30,1
0,-0.0023970000000000003,-0.0018219999999999998,0.004791,31,1
0,-0.00011300000000000004,0.005111,0.00022599999999999975,32,1
0,-0.000405,0.002232000000000001,0.0008050000000000002,33,1
0,-0.000768,-0.001,0.0015360000000000003,34,1
0,5.199999999999996e-05,-0.0017520000000000005,-0.00010599999999999987,35,1
0,0.0004939999999999999,0.002441,-0.0009829999999999997,36,1
0,-0.001186,0.0005540000000000003,0.002374,37,1
0,-0.0008119999999999999,0.003981000000000002,0.0016250000000000004,38,1
0,0.00023900000000000006,-1.5000000000000148e-05,-0.0004760000000000003,39,1
0,8.100000000000002e-05,-0.0026929999999999996,-0.00015800000000000005,40,1
0,-0.001032,0.0031729999999999996,0.0020599999999999993,41,1
0,-0.0006010000000000001,0.0002860000000000003,0.0012020000000000002,42,1
0,-7.700000000000003e-05,0.00011100000000000042,0.00015600000000000032,43,1
0,-0.0013709999999999996,0.001909,0.002741,44,1
0,0.001225,0.0027749999999999997,-0.0024479999999999997,45,1
0,-6.599999999999999e-05,0.0009839999999999996,0.00012499999999999998,46,1
0,2.0999999999999995e-05,-0.0007859999999999998,-3.9999999999999834e-05,47,1
0,-0.0007549999999999999,3.799999999999984e-05,0.001509,48,1
0,0.00030999999999999995,0.0016440000000000007,-0.0006229999999999997,49,1
0,-0.00043900000000000015,0.0020030000000000004,0.0008789999999999998,50,1
0,-0.0011420000000000004,-7.399999999999996e-05,0.0022830000000000003,51,1
0,-0.0013640000000000002,0.00048400000000000006,0.0027300000000000002,52,1
0,-0.0004510000000000001,0.00026100000000000006,0.0009050000000000001,53,1
0,3.700000000000003e-05,-0.00018899999999999934,-7.600000000000022e-05,54,1
0,-0.0006680000000000002,-0.0008809999999999998,0.0013340000000000005,55,1
0,0.0002259999999999999,0.002666000000000001,-0.00045,56,1
0,-0.001049,-0.001389,0.0020989999999999997,57,1
0,0.0013299999999999998,0.0010710000000000001,-0.0026620000000000003,58,1
0,-0.00033099999999999975,0.002033000000000001,0.0006660000000000005,59,1
0,-0.00020899999999999993,-0.00038999999999999983,0.0004219999999999998,60,1
0,5.999999999999949e-06,-0.0005689999999999997,-9.000000000000097e-06,61,1
0,-0.000579,0.0010059999999999995,0.0011569999999999998,62,1
0,0.0006849999999999998,0.00042599999999999995,-0.001372,63,1
0,-0.0005129999999999999,0.0005069999999999996,0.001027,64,1
0,-0.000365,0.000379,0.00073,65,1
0,-6.000000000000024e-06,-0.000326,1.1000000000000078e-05,66,1
0,0.00017600000000000005,0.000373,-0.0003560000000000002,67,1
0,0.0009410000000000001,-0.0006859999999999999,-0.0018809999999999999,68,1
0,0.000495,0.0012259999999999994,-0.0009939999999999999,69,1
0,-0.0008179999999999998,0.003020999999999999,0.0016349999999999997,70,1
0,0.0014520000000000012,0.001646,-0.004030000000000001,1,2
0,-0.002493,-0.0018880000000000001,0.005134,2,2
0,-0.0012410000000000003,-0.0003890000000000003,0.0015109999999999998,3,2
0,0.004085999999999999,-0.0004599999999999998,-0.0016490000000000003,4,2
0,0.00048800000000000015,0.0015249999999999999,-0.0032029999999999997,5,2
0,-0.002311999999999998,0.002519,-0.0033629999999999997,6,2
0,-0.00040499999999999965,0.003282000000000001,-0.005991000000000001,7,2
0,-0.009986000000000002,0.004987,-0.003307,8,2
0,0.0008600000000000004,0.0008440000000000001,-0.002134,9,2
0,0.0031969999999999998,-2.5999999999999927e-05,-0.0019249999999999992,10,2
0,-0.0022619999999999997,0.0002010000000000001,0.0010160000000000004,11,2
0,-0.0019920000000000003,-0.000814,0.0027800000000000004,12,2
0,-0.0026409999999999993,0.0011849999999999996,-0.0006220000000000002,13,2
0,-0.001239,0.0017569999999999999,-0.002579,14,2
0,-0.0021649999999999994,0.00026700000000000004,0.0008330000000000001,15,2
0,-0.0027759999999999994,-0.0012760000000000002,0.004146,16,2
0,0.0043430000000000005,-0.00032099999999999967,-0.002073,17,2
0,-0.0011810000000000002,0.005021999999999999,-0.008817,18,2
0,0.005789000000000001,-0.000686,-0.0022730000000000016,19,2
0,-0.004509,0.0010259999999999998,0.0008359999999999999,20,2
0,-0.001498999999999999,0.0021360000000000003,-0.0031319999999999994,21,2
0,0.005614,-0.000258,-0.002978,22,2
0,-0.0040030000000000005,0.004345,-0.005790000000000001,23,2
0,0.0009999999999999998,0.000828,-0.002191,24,2
0,-0.0011809999999999989,0.002207,-0.0034709999999999997,25,2
0,0.003579,-0.001249,0.0001600000000000005,26,2
0,-0.0014459999999999996,0.000663,-0.0003660000000000001,27,2
0,0.0005269999999999997,0.0011850000000000003,-0.0025819999999999997,28,2
